matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-mexico-south-africa,2026-06-11,2026,Group A,Mexico,South Africa,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5077,0.2433,0.249,2.91,1.61,0.5077,1,0.4619,0.2573,0.2807,2.44,1.53,0.4619,1
wc2026-south-korea-czech-republic,2026-06-11,2026,Group A,South Korea,Czech Republic,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4818,0.214,0.3042,3.54,1.76,0.4818,1,0.4438,0.2368,0.3194,2.88,1.64,0.4438,1
wc2026-canada-bosnia-and-herzegovina,2026-06-12,2026,Group B,Canada,Bosnia & Herzegovina,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4846,0.227,0.2884,2.92,1.82,0.4846,0,0.4458,0.2459,0.3083,2.45,1.68,0.4458,0
wc2026-usa-paraguay,2026-06-12,2026,Group D,USA,Paraguay,HOME,4,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.6534,0.2177,0.1289,2.6,0.91,0.6534,1,0.5639,0.2394,0.1967,2.23,1.04,0.5639,1
wc2026-qatar-switzerland,2026-06-13,2026,Group B,Qatar,Switzerland,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2643,0.2211,0.5146,1.81,1.84,0.5146,0,0.2915,0.2418,0.4667,1.67,1.69,0.4667,0
wc2026-brazil-morocco,2026-06-13,2026,Group C,Brazil,Morocco,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.441,0.2596,0.2994,2.71,1.38,0.441,0,0.4152,0.2687,0.316,2.3,1.37,0.4152,0
wc2026-haiti-scotland,2026-06-13,2026,Group C,Haiti,Scotland,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2968,0.2396,0.4636,1.77,1.5,0.4636,1,0.3143,0.2547,0.431,1.64,1.45,0.431,1
wc2026-germany-curacao,2026-06-14,2026,Group E,Germany,Curaçao,HOME,7,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5123,0.2407,0.247,2.8,1.56,0.5123,1,0.4651,0.2555,0.2793,2.37,1.5,0.4651,1
wc2026-ivory-coast-ecuador,2026-06-14,2026,Group E,Ivory Coast,Ecuador,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4481,0.2072,0.3447,3.58,1.6,0.4481,1,0.4202,0.232,0.3477,2.91,1.52,0.4202,1
wc2026-netherlands-japan,2026-06-14,2026,Group F,Netherlands,Japan,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.596,0.2144,0.1896,2.88,1.13,0.596,0,0.5237,0.2371,0.2392,2.42,1.2,0.5237,0
wc2026-sweden-tunisia,2026-06-14,2026,Group F,Sweden,Tunisia,HOME,5,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5359,0.217,0.2471,2.81,0.99,0.5359,1,0.4817,0.2389,0.2794,2.37,1.1,0.4817,1
wc2026-belgium-egypt,2026-06-15,2026,Group G,Belgium,Egypt,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.6682,0.1997,0.1321,2.77,0.94,0.6682,0,0.5743,0.2268,0.1989,2.34,1.06,0.5743,0
wc2026-iran-new-zealand,2026-06-15,2026,Group G,Iran,New Zealand,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4828,0.2411,0.2761,2.65,1.65,0.4828,0,0.4445,0.2558,0.2997,2.26,1.56,0.4445,0
