matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,eloDiff,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-mexico-south-africa,2026-06-11,2026,Group A,Mexico,South Africa,HOME,2,0,294,0.706,0.2078,0.0862,2.08,0.62,0.706,1,0.5057,0.2473,0.247,2.91,1.61,0.5057,1,0.5658,0.2355,0.1988,2.66,1.31,0.5658,1
wc2026-south-korea-czech-republic,2026-06-11,2026,Group A,South Korea,Czech Republic,HOME,2,1,107,0.4834,0.2781,0.2386,1.62,1.08,0.4834,1,0.4806,0.2165,0.3029,3.54,1.76,0.4806,1,0.4814,0.235,0.2836,2.96,1.56,0.4814,1
wc2026-canada-bosnia-and-herzegovina,2026-06-12,2026,Group B,Canada,Bosnia & Herzegovina,DRAW,1,1,138,0.5213,0.2703,0.2084,1.7,1,0.5213,0,0.4827,0.2307,0.2866,2.92,1.82,0.4827,0,0.4943,0.2426,0.2631,2.55,1.58,0.4943,0
wc2026-usa-paraguay,2026-06-12,2026,Group D,USA,Paraguay,HOME,4,1,139,0.5221,0.2702,0.2077,1.7,1,0.5221,1,0.6506,0.2232,0.1262,2.6,0.91,0.6506,1,0.6121,0.2373,0.1507,2.33,0.94,0.6121,1
wc2026-qatar-switzerland,2026-06-13,2026,Group B,Qatar,Switzerland,DRAW,1,1,-273,0.0996,0.2181,0.6823,0.67,2.03,0.6823,0,0.2609,0.2279,0.5112,1.81,1.84,0.5112,0,0.2125,0.225,0.5625,1.47,1.9,0.5625,0
wc2026-brazil-morocco,2026-06-13,2026,Group C,Brazil,Morocco,DRAW,1,1,82,0.4521,0.2831,0.2649,1.55,1.15,0.4521,0,0.4386,0.2644,0.297,2.71,1.38,0.4386,0,0.4427,0.27,0.2874,2.36,1.31,0.4427,0
wc2026-haiti-scotland,2026-06-13,2026,Group C,Haiti,Scotland,AWAY,0,1,-143,0.204,0.269,0.5269,0.99,1.71,0.5269,1,0.2929,0.2474,0.4597,1.77,1.5,0.4597,1,0.2662,0.2539,0.4799,1.54,1.56,0.4799,1
wc2026-germany-curacao,2026-06-14,2026,Group E,Germany,Curaçao,HOME,7,1,356,0.773,0.1746,0.0524,2.24,0.46,0.773,1,0.5101,0.2451,0.2448,2.8,1.56,0.5101,1,0.589,0.224,0.1871,2.63,1.23,0.589,1
wc2026-ivory-coast-ecuador,2026-06-14,2026,Group E,Ivory Coast,Ecuador,HOME,1,0,-57,0.2914,0.2866,0.422,1.21,1.49,0.422,0,0.4468,0.2097,0.3435,3.58,1.6,0.4468,1,0.4002,0.2328,0.3671,2.87,1.57,0.4002,1
wc2026-netherlands-japan,2026-06-14,2026,Group F,Netherlands,Japan,DRAW,2,2,89,0.4613,0.2817,0.257,1.57,1.13,0.4613,0,0.5937,0.219,0.1873,2.88,1.13,0.5937,0,0.554,0.2378,0.2082,2.49,1.13,0.554,0
