matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct
wc2026-mexico-south-africa,2026-06-11,2026,Group A,Mexico,South Africa,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-south-korea-czech-republic,2026-06-11,2026,Group A,South Korea,Czech Republic,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-canada-bosnia-and-herzegovina,2026-06-12,2026,Group B,Canada,Bosnia & Herzegovina,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-usa-paraguay,2026-06-12,2026,Group D,USA,Paraguay,HOME,4,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-qatar-switzerland,2026-06-13,2026,Group B,Qatar,Switzerland,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-brazil-morocco,2026-06-13,2026,Group C,Brazil,Morocco,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-haiti-scotland,2026-06-13,2026,Group C,Haiti,Scotland,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-germany-curacao,2026-06-14,2026,Group E,Germany,Curaçao,HOME,7,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-ivory-coast-ecuador,2026-06-14,2026,Group E,Ivory Coast,Ecuador,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-netherlands-japan,2026-06-14,2026,Group F,Netherlands,Japan,DRAW,2,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-sweden-tunisia,2026-06-14,2026,Group F,Sweden,Tunisia,HOME,5,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-belgium-egypt,2026-06-15,2026,Group G,Belgium,Egypt,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-iran-new-zealand,2026-06-15,2026,Group G,Iran,New Zealand,DRAW,2,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-saudi-arabia-uruguay,2026-06-15,2026,Group H,Saudi Arabia,Uruguay,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-spain-cape-verde,2026-06-15,2026,Group H,Spain,Cape Verde,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-france-senegal,2026-06-16,2026,Group I,France,Senegal,HOME,3,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-iraq-norway,2026-06-16,2026,Group I,Iraq,Norway,AWAY,1,4,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-argentina-algeria,2026-06-16,2026,Group J,Argentina,Algeria,HOME,3,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-austria-jordan,2026-06-16,2026,Group J,Austria,Jordan,HOME,3,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-portugal-dr-congo,2026-06-17,2026,Group K,Portugal,DR Congo,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-uzbekistan-colombia,2026-06-17,2026,Group K,Uzbekistan,Colombia,AWAY,1,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-england-croatia,2026-06-17,2026,Group L,England,Croatia,HOME,4,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-ghana-panama,2026-06-17,2026,Group L,Ghana,Panama,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-czech-republic-south-africa,2026-06-18,2026,Group A,Czech Republic,South Africa,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-mexico-south-korea,2026-06-18,2026,Group A,Mexico,South Korea,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-canada-qatar,2026-06-18,2026,Group B,Canada,Qatar,HOME,6,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-switzerland-bosnia-and-herzegovina,2026-06-18,2026,Group B,Switzerland,Bosnia & Herzegovina,HOME,4,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-brazil-haiti,2026-06-19,2026,Group C,Brazil,Haiti,HOME,3,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-scotland-morocco,2026-06-19,2026,Group C,Scotland,Morocco,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-turkey-paraguay,2026-06-19,2026,Group D,Turkey,Paraguay,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-usa-australia,2026-06-19,2026,Group D,USA,Australia,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-ecuador-curacao,2026-06-20,2026,Group E,Ecuador,Curaçao,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-germany-ivory-coast,2026-06-20,2026,Group E,Germany,Ivory Coast,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-netherlands-sweden,2026-06-20,2026,Group F,Netherlands,Sweden,HOME,5,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-tunisia-japan,2026-06-20,2026,Group F,Tunisia,Japan,AWAY,0,4,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-belgium-iran,2026-06-21,2026,Group G,Belgium,Iran,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-new-zealand-egypt,2026-06-21,2026,Group G,New Zealand,Egypt,AWAY,1,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-spain-saudi-arabia,2026-06-21,2026,Group H,Spain,Saudi Arabia,HOME,4,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-uruguay-cape-verde,2026-06-21,2026,Group H,Uruguay,Cape Verde,DRAW,2,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-france-iraq,2026-06-22,2026,Group I,France,Iraq,HOME,3,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-norway-senegal,2026-06-22,2026,Group I,Norway,Senegal,HOME,3,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-argentina-austria,2026-06-22,2026,Group J,Argentina,Austria,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-jordan-algeria,2026-06-22,2026,Group J,Jordan,Algeria,AWAY,1,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-colombia-dr-congo,2026-06-23,2026,Group K,Colombia,DR Congo,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-portugal-uzbekistan,2026-06-23,2026,Group K,Portugal,Uzbekistan,HOME,5,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-england-ghana,2026-06-23,2026,Group L,England,Ghana,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-panama-croatia,2026-06-23,2026,Group L,Panama,Croatia,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-mexico-czech-republic,2026-06-24,2026,Group A,Mexico,Czech Republic,HOME,3,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-south-africa-south-korea,2026-06-24,2026,Group A,South Africa,South Korea,HOME,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-bosnia-and-herzegovina-qatar,2026-06-24,2026,Group B,Bosnia & Herzegovina,Qatar,HOME,3,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-canada-switzerland,2026-06-24,2026,Group B,Canada,Switzerland,AWAY,1,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-morocco-haiti,2026-06-24,2026,Group C,Morocco,Haiti,HOME,4,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-scotland-brazil,2026-06-24,2026,Group C,Scotland,Brazil,AWAY,0,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-paraguay-australia,2026-06-25,2026,Group D,Paraguay,Australia,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-usa-turkey,2026-06-25,2026,Group D,USA,Turkey,AWAY,2,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-curacao-ivory-coast,2026-06-25,2026,Group E,Curaçao,Ivory Coast,AWAY,0,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-ecuador-germany,2026-06-25,2026,Group E,Ecuador,Germany,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-japan-sweden,2026-06-25,2026,Group F,Japan,Sweden,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-tunisia-netherlands,2026-06-25,2026,Group F,Tunisia,Netherlands,AWAY,1,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-egypt-iran,2026-06-26,2026,Group G,Egypt,Iran,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-new-zealand-belgium,2026-06-26,2026,Group G,New Zealand,Belgium,AWAY,1,5,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-cape-verde-saudi-arabia,2026-06-26,2026,Group H,Cape Verde,Saudi Arabia,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-uruguay-spain,2026-06-26,2026,Group H,Uruguay,Spain,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-norway-france,2026-06-26,2026,Group I,Norway,France,AWAY,1,4,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-senegal-iraq,2026-06-26,2026,Group I,Senegal,Iraq,HOME,5,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-algeria-austria,2026-06-27,2026,Group J,Algeria,Austria,DRAW,3,3,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-jordan-argentina,2026-06-27,2026,Group J,Jordan,Argentina,AWAY,1,3,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-colombia-portugal,2026-06-27,2026,Group K,Colombia,Portugal,DRAW,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-dr-congo-uzbekistan,2026-06-27,2026,Group K,DR Congo,Uzbekistan,HOME,3,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-croatia-ghana,2026-06-27,2026,Group L,Croatia,Ghana,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-panama-england,2026-06-27,2026,Group L,Panama,England,AWAY,0,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-south-africa-canada,2026-06-28,2026,Round of 32,South Africa,Canada,AWAY,0,1,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-brazil-japan,2026-06-29,2026,Round of 32,Brazil,Japan,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-germany-paraguay,2026-06-29,2026,Round of 32,Germany,Paraguay,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-netherlands-morocco,2026-06-29,2026,Round of 32,Netherlands,Morocco,DRAW,1,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-france-sweden,2026-06-30,2026,Round of 32,France,Sweden,HOME,3,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-ivory-coast-norway,2026-06-30,2026,Round of 32,Ivory Coast,Norway,AWAY,1,2,0.355,0.29,0.355,1.35,1.35,0.355,1
wc2026-mexico-ecuador,2026-06-30,2026,Round of 32,Mexico,Ecuador,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-belgium-senegal,2026-07-01,2026,Round of 32,Belgium,Senegal,HOME,3,2,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-england-dr-congo,2026-07-01,2026,Round of 32,England,DR Congo,HOME,2,1,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2026-usa-bosnia-and-herzegovina,2026-07-01,2026,Round of 32,USA,Bosnia & Herzegovina,HOME,2,0,0.355,0.29,0.355,1.35,1.35,0.355,0
wc2002-france-senegal,2002-05-31,2002,GROUP_STAGE,France,Senegal,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-republic-of-ireland-cameroon,2002-06-01,2002,GROUP_STAGE,Republic of Ireland,Cameroon,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-uruguay-denmark,2002-06-01,2002,GROUP_STAGE,Uruguay,Denmark,AWAY,1,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-germany-saudi-arabia,2002-06-01,2002,GROUP_STAGE,Germany,Saudi Arabia,HOME,8,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-argentina-nigeria,2002-06-02,2002,GROUP_STAGE,Argentina,Nigeria,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-paraguay-south-africa,2002-06-02,2002,GROUP_STAGE,Paraguay,South Africa,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-england-sweden,2002-06-02,2002,GROUP_STAGE,England,Sweden,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-spain-slovenia,2002-06-02,2002,GROUP_STAGE,Spain,Slovenia,HOME,3,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-croatia-mexico,2002-06-03,2002,GROUP_STAGE,Croatia,Mexico,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-brazil-t-rkiye,2002-06-03,2002,GROUP_STAGE,Brazil,Türkiye,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-italy-ecuador,2002-06-03,2002,GROUP_STAGE,Italy,Ecuador,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-china-pr-costa-rica,2002-06-04,2002,GROUP_STAGE,China PR,Costa Rica,AWAY,0,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-japan-belgium,2002-06-04,2002,GROUP_STAGE,Japan,Belgium,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-korea-republic-poland,2002-06-04,2002,GROUP_STAGE,Korea Republic,Poland,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-russia-tunisia,2002-06-05,2002,GROUP_STAGE,Russia,Tunisia,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-united-states-portugal,2002-06-05,2002,GROUP_STAGE,United States,Portugal,HOME,3,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-germany-republic-of-ireland,2002-06-05,2002,GROUP_STAGE,Germany,Republic of Ireland,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-denmark-senegal,2002-06-06,2002,GROUP_STAGE,Denmark,Senegal,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
wc2002-cameroon-saudi-arabia,2002-06-06,2002,GROUP_STAGE,Cameroon,Saudi Arabia,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1
wc2002-france-uruguay,2002-06-06,2002,GROUP_STAGE,France,Uruguay,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0
