Date,team,opponent,expected_goals
2026-06-11,Mexico,South Africa,2.6514113866174296
2026-06-11,Korea Republic,Czechia,1.0567632013557462
2026-06-11,South Africa,Mexico,0.6636566072984267
2026-06-11,Czechia,Korea Republic,1.0706656559243188
2026-06-12,Paraguay,United States,1.1608413059031102
2026-06-12,Bosnia-Herzegovina,Canada,1.2355033915707938
2026-06-12,Canada,Bosnia-Herzegovina,1.5206318911404575
2026-06-12,United States,Paraguay,1.8410541791445163
2026-06-13,Haiti,Scotland,0.43803215199228
2026-06-13,Türkiye,Australia,1.3527871903720823
2026-06-13,Brazil,Morocco,1.3306096924763255
2026-06-13,Qatar,Switzerland,0.6993321169890572
2026-06-13,Morocco,Brazil,1.556683413068514
2026-06-13,Switzerland,Qatar,1.9235918169190682
2026-06-13,Scotland,Haiti,1.9114725765191571
2026-06-13,Australia,Türkiye,1.2705299571094841
2026-06-14,Japan,Netherlands,1.2049641188616194
2026-06-14,Curaçao,Germany,0.18514602312890907
2026-06-14,Germany,Curaçao,2.5346641086684008
2026-06-14,Netherlands,Japan,0.9754124542248426
2026-06-14,Ecuador,Côte d'Ivoire,1.3943584357161511
2026-06-14,Sweden,Tunisia,1.3229811519193138
2026-06-14,Tunisia,Sweden,1.2079440846948817
2026-06-14,Côte d'Ivoire,Ecuador,0.9629333383941421
2026-06-15,IR Iran,New Zealand,1.5561259325855283
2026-06-15,Belgium,Egypt,1.5509339454640485
2026-06-15,Spain,Cape Verde,2.0162960459831187
2026-06-15,Uruguay,Saudi Arabia,1.8661727562755215
2026-06-15,New Zealand,IR Iran,0.3146606989544326
2026-06-15,Cape Verde,Spain,0.7325266065609332
2026-06-15,Egypt,Belgium,0.7339847571324625
2026-06-15,Saudi Arabia,Uruguay,0.713581859521081
2026-06-16,Jordan,Austria,0.6235324435022129
2026-06-16,Norway,Iraq,1.4403408333014545
2026-06-16,Algeria,Argentina,0.7480014438782517
2026-06-16,Argentina,Algeria,2.2432074285814907
2026-06-16,Iraq,Norway,0.7911695725342728
2026-06-16,France,Senegal,1.1413278682804573
2026-06-16,Senegal,France,1.2848954665957932
2026-06-16,Austria,Jordan,1.6082881483148708
2026-06-17,Congo DR,Portugal,0.5622236193740534
2026-06-17,Croatia,England,1.458314527324005
2026-06-17,Panama,Ghana,1.6821163021120273
2026-06-17,Colombia,Uzbekistan,1.6535123863894343
2026-06-17,Portugal,Congo DR,1.6669608583810378
2026-06-17,England,Croatia,0.9897752427982474
2026-06-17,Ghana,Panama,0.6536521339406578
2026-06-17,Uzbekistan,Colombia,0.5498031428836797
2026-06-18,Qatar,Canada,0.730174825627536
2026-06-18,South Africa,Czechia,1.2143642059431752
2026-06-18,Bosnia-Herzegovina,Switzerland,0.9262989034896691
2026-06-18,Korea Republic,Mexico,0.7787346207067166
2026-06-18,Mexico,Korea Republic,1.655206503967271
2026-06-18,Canada,Qatar,2.636964135932517
2026-06-18,Czechia,South Africa,1.4272781342463476
2026-06-18,Switzerland,Bosnia-Herzegovina,1.3390734432538702
2026-06-19,United States,Australia,1.7559728909536438
2026-06-19,Scotland,Morocco,0.6189557358489838
2026-06-19,Türkiye,Paraguay,1.209314997443986
2026-06-19,Brazil,Haiti,2.219637698163425
2026-06-19,Australia,United States,1.3330138687563753
2026-06-19,Morocco,Scotland,1.6994584723817971
2026-06-19,Haiti,Brazil,0.2000343057924018
2026-06-19,Paraguay,Türkiye,0.9259540236588297
